,label,run,error,n,d,rho,ratio,time
2739,"PLAN(paper), unclipped",0,3.911060245764771,4096,512,0.125,1.0,1.3348314762115479
2740,"PLAN(paper), clipped",0,3.911527580474538,4096,512,0.125,1.0,-1.3348314762115479
2741,"PLAN(noscale), unclipped",0,3.806037133245115,4096,512,0.125,1.0,1.4416344165802002
2742,"PLAN(noscale), clipped",0,3.810262638987248,4096,512,0.125,1.0,-1.4416344165802002
2743,"instance optimal, unclipped",0,3.8116185065271484,4096,512,0.125,1.0,0.4629325866699219
2744,"instance optimal, clipped",0,3.8124399439703085,4096,512,0.125,1.0,0.4629325866699219
2745,Empirical mean (non-private),1,0.30859375,4096,512,0.125,0.0,0.0
2746,"PLAN(oracle), unclipped",1,0.6847660493602455,4096,512,0.125,0.0,0.03590989112854004
2747,"PLAN(oracle), clipped",1,0.6841920505705165,4096,512,0.125,0.0,-0.03590989112854004
2748,"PLAN(paper), unclipped",1,0.7869423154751469,4096,512,0.125,0.0,0.03398942947387695
2749,"PLAN(paper), clipped",1,0.7863046548515218,4096,512,0.125,0.0,-0.03398942947387695
2750,"PLAN(noscale), unclipped",1,0.6845348416529832,4096,512,0.125,0.0,0.03350210189819336
2751,"PLAN(noscale), clipped",1,0.6825768189077526,4096,512,0.125,0.0,-0.03350210189819336
2752,"instance optimal, unclipped",1,0.6987847644019887,4096,512,0.125,0.0,0.4325711727142334
2753,"instance optimal, clipped",1,0.6967811694418333,4096,512,0.125,0.0,0.4325711727142334
2754,Empirical mean (non-private),1,0.619150390625,4096,512,0.125,0.25,0.0
2755,"PLAN(oracle), unclipped",1,1.4611420939345288,4096,512,0.125,0.25,0.3397941589355469
2756,"PLAN(oracle), clipped",1,1.4620852137184026,4096,512,0.125,0.25,-0.3397941589355469
2757,"PLAN(paper), unclipped",1,1.6266213516387373,4096,512,0.125,0.25,0.33718109130859375
2758,"PLAN(paper), clipped",1,1.626795022027033,4096,512,0.125,0.25,-0.33718109130859375
2759,"PLAN(noscale), unclipped",1,1.9824504936110967,4096,512,0.125,0.25,0.3351712226867676
2760,"PLAN(noscale), clipped",1,1.9867283264745281,4096,512,0.125,0.25,-0.3351712226867676
2761,"instance optimal, unclipped",1,1.8122807601830346,4096,512,0.125,0.25,0.44305992126464844
2762,"instance optimal, clipped",1,1.814819531418061,4096,512,0.125,0.25,0.44305992126464844
2763,Empirical mean (non-private),1,1.0332421875,4096,512,0.125,0.5,0.0
2764,"PLAN(oracle), unclipped",1,2.3461300186605816,4096,512,0.125,0.5,0.6498146057128906
2765,"PLAN(oracle), clipped",1,2.3416252743208466,4096,512,0.125,0.5,-0.6498146057128906
2766,"PLAN(paper), unclipped",1,2.387800619292573,4096,512,0.125,0.5,0.6355950832366943
2767,"PLAN(paper), clipped",1,2.386954406759296,4096,512,0.125,0.5,-0.6355950832366943
2768,"PLAN(noscale), unclipped",1,2.904933698369208,4096,512,0.125,0.5,0.6323349475860596
2769,"PLAN(noscale), clipped",1,2.9030938039231,4096,512,0.125,0.5,-0.6323349475860596
2770,"instance optimal, unclipped",1,2.6780581179298175,4096,512,0.125,0.5,0.4533534049987793
2771,"instance optimal, clipped",1,2.680983905938932,4096,512,0.125,0.5,0.4533534049987793
2772,Empirical mean (non-private),1,1.3414208984375,4096,512,0.125,0.75,0.0
2773,"PLAN(oracle), unclipped",1,3.143063521217669,4096,512,0.125,0.75,0.9711813926696777
2774,"PLAN(oracle), clipped",1,3.1399237909448514,4096,512,0.125,0.75,-0.9711813926696777
2775,"PLAN(paper), unclipped",1,3.0135646274155556,4096,512,0.125,0.75,0.9672019481658936
2776,"PLAN(paper), clipped",1,3.0321736326950504,4096,512,0.125,0.75,-0.9672019481658936
2777,"PLAN(noscale), unclipped",1,3.5571832394667044,4096,512,0.125,0.75,0.9729223251342773
2778,"PLAN(noscale), clipped",1,3.550905298217007,4096,512,0.125,0.75,-0.9729223251342773
2779,"instance optimal, unclipped",1,3.1837796407144068,4096,512,0.125,0.75,0.4576690196990967
2780,"instance optimal, clipped",1,3.18816389404086,4096,512,0.125,0.75,0.4576690196990967
2781,Empirical mean (non-private),1,1.5548095703125,4096,512,0.125,1.0,0.0
2782,"PLAN(oracle), unclipped",1,3.854209310323541,4096,512,0.125,1.0,1.4227724075317383
2783,"PLAN(oracle), clipped",1,3.830090309573987,4096,512,0.125,1.0,-1.4227724075317383
2784,"PLAN(paper), unclipped",1,3.6496568509864264,4096,512,0.125,1.0,1.2978394031524658
2785,"PLAN(paper), clipped",1,3.654300755276841,4096,512,0.125,1.0,-1.2978394031524658
2786,"PLAN(noscale), unclipped",1,3.7953905694900696,4096,512,0.125,1.0,1.376781940460205
2787,"PLAN(noscale), clipped",1,3.792161036900504,4096,512,0.125,1.0,-1.376781940460205
2788,"instance optimal, unclipped",1,3.848335095616215,4096,512,0.125,1.0,0.4827899932861328
2789,"instance optimal, clipped",1,3.847226091985304,4096,512,0.125,1.0,0.4827899932861328
2790,Empirical mean (non-private),2,0.31707031249999995,4096,512,0.125,0.0,0.0
2791,"PLAN(oracle), unclipped",2,0.7035186512569214,4096,512,0.125,0.0,0.04798269271850586
2792,"PLAN(oracle), clipped",2,0.7022865436667497,4096,512,0.125,0.0,-0.04798269271850586
2793,"PLAN(paper), unclipped",2,0.7098084831936997,4096,512,0.125,0.0,0.05049586296081543
2794,"PLAN(paper), clipped",2,0.7094664107444492,4096,512,0.125,0.0,-0.05049586296081543
2795,"PLAN(noscale), unclipped",2,0.6382919534615665,4096,512,0.125,0.0,0.0362091064453125
2796,"PLAN(noscale), clipped",2,0.6410220764532797,4096,512,0.125,0.0,-0.0362091064453125
2797,"instance optimal, unclipped",2,0.737464588454448,4096,512,0.125,0.0,0.474672794342041
2798,"instance optimal, clipped",2,0.734075515606739,4096,512,0.125,0.0,0.474672794342041
2799,Empirical mean (non-private),2,0.664072265625,4096,512,0.125,0.25,0.0
2800,"PLAN(oracle), unclipped",2,1.5581866788877075,4096,512,0.125,0.25,0.3500959873199463
2801,"PLAN(oracle), clipped",2,1.5517887649960818,4096,512,0.125,0.25,-0.3500959873199463
2802,"PLAN(paper), unclipped",2,1.734163973423644,4096,512,0.125,0.25,0.33331871032714844
2803,"PLAN(paper), clipped",2,1.7342124682454096,4096,512,0.125,0.25,-0.33331871032714844
2804,"PLAN(noscale), unclipped",2,1.9964885221058866,4096,512,0.125,0.25,0.3358910083770752
2805,"PLAN(noscale), clipped",2,2.0063458197587125,4096,512,0.125,0.25,-0.3358910083770752
2806,"instance optimal, unclipped",2,1.7547559919274258,4096,512,0.125,0.25,0.501861572265625
2807,"instance optimal, clipped",2,1.7546635423653587,4096,512,0.125,0.25,0.501861572265625
2808,Empirical mean (non-private),2,0.9183886718750001,4096,512,0.125,0.5,0.0
2809,"PLAN(oracle), unclipped",2,2.326545637261768,4096,512,0.125,0.5,0.6480982303619385
2810,"PLAN(oracle), clipped",2,2.3283567662904385,4096,512,0.125,0.5,-0.6480982303619385
2811,"PLAN(paper), unclipped",2,2.326086666428411,4096,512,0.125,0.5,0.6277053356170654
2812,"PLAN(paper), clipped",2,2.3259036427714292,4096,512,0.125,0.5,-0.6277053356170654
2813,"PLAN(noscale), unclipped",2,2.773149753219845,4096,512,0.125,0.5,0.6286239624023438
2814,"PLAN(noscale), clipped",2,2.780000507022045,4096,512,0.125,0.5,-0.6286239624023438
2815,"instance optimal, unclipped",2,2.663595918272615,4096,512,0.125,0.5,0.5112066268920898
2816,"instance optimal, clipped",2,2.6660592754638666,4096,512,0.125,0.5,0.5112066268920898
2817,Empirical mean (non-private),2,1.35822265625,4096,512,0.125,0.75,0.0
2818,"PLAN(oracle), unclipped",2,3.2367519136677503,4096,512,0.125,0.75,0.9743399620056152
2819,"PLAN(oracle), clipped",2,3.228632056123288,4096,512,0.125,0.75,-0.9743399620056152
2820,"PLAN(paper), unclipped",2,3.0359593690118025,4096,512,0.125,0.75,1.1270925998687744
2821,"PLAN(paper), clipped",2,3.042647355221381,4096,512,0.125,0.75,-1.1270925998687744
2822,"PLAN(noscale), unclipped",2,3.2537070654457487,4096,512,0.125,0.75,0.9717035293579102
2823,"PLAN(noscale), clipped",2,3.2486284277807234,4096,512,0.125,0.75,-0.9717035293579102
2824,"instance optimal, unclipped",2,3.2571919616880316,4096,512,0.125,0.75,0.46027374267578125
2825,"instance optimal, clipped",2,3.253702599444976,4096,512,0.125,0.75,0.46027374267578125
2826,Empirical mean (non-private),2,1.61669921875,4096,512,0.125,1.0,0.0
2827,"PLAN(oracle), unclipped",2,4.07878048979858,4096,512,0.125,1.0,1.3007571697235107
2828,"PLAN(oracle), clipped",2,4.087042724093501,4096,512,0.125,1.0,-1.3007571697235107
2829,"PLAN(paper), unclipped",2,3.927904763699239,4096,512,0.125,1.0,1.2968559265136719
2830,"PLAN(paper), clipped",2,3.9165198734935784,4096,512,0.125,1.0,-1.2968559265136719
2831,"PLAN(noscale), unclipped",2,3.790918450380942,4096,512,0.125,1.0,1.327047348022461
2832,"PLAN(noscale), clipped",2,3.7910134840817227,4096,512,0.125,1.0,-1.327047348022461
2833,"instance optimal, unclipped",2,3.6265689022148,4096,512,0.125,1.0,0.48180675506591797
2834,"instance optimal, clipped",2,3.6296492534424356,4096,512,0.125,1.0,0.48180675506591797
2835,Empirical mean (non-private),3,0.3249609375,4096,512,0.125,0.0,0.0
2836,"PLAN(oracle), unclipped",3,0.6668575705551401,4096,512,0.125,0.0,0.036543846130371094
2837,"PLAN(oracle), clipped",3,0.6660551350553922,4096,512,0.125,0.0,-0.036543846130371094
2838,"PLAN(paper), unclipped",3,0.6815537065214898,4096,512,0.125,0.0,0.03387618064880371
2839,"PLAN(paper), clipped",3,0.6819917420799968,4096,512,0.125,0.0,-0.03387618064880371
2840,"PLAN(noscale), unclipped",3,0.6529229774976589,4096,512,0.125,0.0,0.0330355167388916
2841,"PLAN(noscale), clipped",3,0.6535174584654,4096,512,0.125,0.0,-0.0330355167388916
2842,"instance optimal, unclipped",3,0.7293001975357802,4096,512,0.125,0.0,0.4479796886444092
2843,"instance optimal, clipped",3,0.7290526133978484,4096,512,0.125,0.0,0.4479796886444092
2844,Empirical mean (non-private),3,0.6465966796875,4096,512,0.125,0.25,0.0
2845,"PLAN(oracle), unclipped",3,1.483405301812351,4096,512,0.125,0.25,0.3347737789154053
2846,"PLAN(oracle), clipped",3,1.4992970317321814,4096,512,0.125,0.25,-0.3347737789154053
2847,"PLAN(paper), unclipped",3,1.5830855385901086,4096,512,0.125,0.25,0.33350157737731934
2848,"PLAN(paper), clipped",3,1.6034946400152807,4096,512,0.125,0.25,-0.33350157737731934
2849,"PLAN(noscale), unclipped",3,2.078825065709633,4096,512,0.125,0.25,0.3349947929382324
2850,"PLAN(noscale), clipped",3,2.083579290896068,4096,512,0.125,0.25,-0.3349947929382324
2851,"instance optimal, unclipped",3,1.9160345788069026,4096,512,0.125,0.25,0.4772670269012451
2852,"instance optimal, clipped",3,1.919456989143042,4096,512,0.125,0.25,0.4772670269012451
2853,Empirical mean (non-private),3,0.8384521484375,4096,512,0.125,0.5,0.0
2854,"PLAN(oracle), unclipped",3,2.2071322256317014,4096,512,0.125,0.5,0.6300339698791504
2855,"PLAN(oracle), clipped",3,2.2127106534683945,4096,512,0.125,0.5,-0.6300339698791504
2856,"PLAN(paper), unclipped",3,2.194129505952137,4096,512,0.125,0.5,0.6309559345245361
2857,"PLAN(paper), clipped",3,2.2074558718038655,4096,512,0.125,0.5,-0.6309559345245361
2858,"PLAN(noscale), unclipped",3,2.7225507985138826,4096,512,0.125,0.5,0.6344549655914307
2859,"PLAN(noscale), clipped",3,2.7250639103058885,4096,512,0.125,0.5,-0.6344549655914307
2860,"instance optimal, unclipped",3,2.670848001063238,4096,512,0.125,0.5,0.6306476593017578
2861,"instance optimal, clipped",3,2.672952643547236,4096,512,0.125,0.5,0.6306476593017578
2862,Empirical mean (non-private),3,1.21091796875,4096,512,0.125,0.75,0.0
2863,"PLAN(oracle), unclipped",3,3.012523560866613,4096,512,0.125,0.75,0.9758234024047852
2864,"PLAN(oracle), clipped",3,3.0068887745886093,4096,512,0.125,0.75,-0.9758234024047852
2865,"PLAN(paper), unclipped",3,2.8424821710073576,4096,512,0.125,0.75,0.977013349533081
2866,"PLAN(paper), clipped",3,2.839891866849608,4096,512,0.125,0.75,-0.977013349533081
2867,"PLAN(noscale), unclipped",3,3.27206694535172,4096,512,0.125,0.75,0.9730103015899658
2868,"PLAN(noscale), clipped",3,3.2740786497715044,4096,512,0.125,0.75,-0.9730103015899658
2869,"instance optimal, unclipped",3,3.2094288194741107,4096,512,0.125,0.75,0.4568307399749756
2870,"instance optimal, clipped",3,3.206264423001843,4096,512,0.125,0.75,0.4568307399749756
2871,Empirical mean (non-private),3,1.5889892578125,4096,512,0.125,1.0,0.0
2872,"PLAN(oracle), unclipped",3,3.646877076053171,4096,512,0.125,1.0,1.3963470458984375
2873,"PLAN(oracle), clipped",3,3.6471095092922816,4096,512,0.125,1.0,-1.3963470458984375
2874,"PLAN(paper), unclipped",3,3.6871367272764384,4096,512,0.125,1.0,1.3776206970214844
2875,"PLAN(paper), clipped",3,3.679800766003978,4096,512,0.125,1.0,-1.3776206970214844
2876,"PLAN(noscale), unclipped",3,3.95087359926761,4096,512,0.125,1.0,1.5698699951171875
2877,"PLAN(noscale), clipped",3,3.956338282470993,4096,512,0.125,1.0,-1.5698699951171875
2878,"instance optimal, unclipped",3,3.697597371431246,4096,512,0.125,1.0,0.46150779724121094
2879,"instance optimal, clipped",3,3.698200456405225,4096,512,0.125,1.0,0.46150779724121094
2880,Empirical mean (non-private),4,0.3186572265625,4096,512,0.125,0.0,0.0
2881,"PLAN(oracle), unclipped",4,0.7099527141128746,4096,512,0.125,0.0,0.051659584045410156
2882,"PLAN(oracle), clipped",4,0.7096928963216598,4096,512,0.125,0.0,-0.051659584045410156
2883,"PLAN(paper), unclipped",4,0.6847466131265808,4096,512,0.125,0.0,0.04581332206726074
2884,"PLAN(paper), clipped",4,0.6799307723285575,4096,512,0.125,0.0,-0.04581332206726074
2885,"PLAN(noscale), unclipped",4,0.605032783825538,4096,512,0.125,0.0,0.04100799560546875
2886,"PLAN(noscale), clipped",4,0.6059404213575851,4096,512,0.125,0.0,-0.04100799560546875
2887,"instance optimal, unclipped",4,0.7152803553553951,4096,512,0.125,0.0,0.4629552364349365
2888,"instance optimal, clipped",4,0.7107297508299055,4096,512,0.125,0.0,0.4629552364349365
2889,Empirical mean (non-private),4,0.65556640625,4096,512,0.125,0.25,0.0
2890,"PLAN(oracle), unclipped",4,1.5337371550461727,4096,512,0.125,0.25,0.3456759452819824
2891,"PLAN(oracle), clipped",4,1.5374996684194797,4096,512,0.125,0.25,-0.3456759452819824
2892,"PLAN(paper), unclipped",4,1.657488847108429,4096,512,0.125,0.25,0.33245348930358887
2893,"PLAN(paper), clipped",4,1.6534137691960402,4096,512,0.125,0.25,-0.33245348930358887
2894,"PLAN(noscale), unclipped",4,2.0599884105183515,4096,512,0.125,0.25,0.33542418479919434
2895,"PLAN(noscale), clipped",4,2.0586130758610905,4096,512,0.125,0.25,-0.33542418479919434
2896,"instance optimal, unclipped",4,1.9487924293497496,4096,512,0.125,0.25,0.513486385345459
2897,"instance optimal, clipped",4,1.9496618310414031,4096,512,0.125,0.25,0.513486385345459
2898,Empirical mean (non-private),4,0.9520751953125,4096,512,0.125,0.5,0.0
2899,"PLAN(oracle), unclipped",4,2.325226831304935,4096,512,0.125,0.5,0.6544961929321289
2900,"PLAN(oracle), clipped",4,2.327473773698622,4096,512,0.125,0.5,-0.6544961929321289
2901,"PLAN(paper), unclipped",4,2.403638764526783,4096,512,0.125,0.5,0.7699613571166992
2902,"PLAN(paper), clipped",4,2.4059790715570344,4096,512,0.125,0.5,-0.7699613571166992
2903,"PLAN(noscale), unclipped",4,2.6653966321606974,4096,512,0.125,0.5,0.6421325206756592
2904,"PLAN(noscale), clipped",4,2.661964927791379,4096,512,0.125,0.5,-0.6421325206756592
2905,"instance optimal, unclipped",4,2.341040760581399,4096,512,0.125,0.5,0.4944329261779785
2906,"instance optimal, clipped",4,2.336098213913262,4096,512,0.125,0.5,0.4944329261779785
2907,Empirical mean (non-private),4,1.2213720703125,4096,512,0.125,0.75,0.0
2908,"PLAN(oracle), unclipped",4,3.1650093750617585,4096,512,0.125,0.75,0.9845988750457764
2909,"PLAN(oracle), clipped",4,3.164098164245759,4096,512,0.125,0.75,-0.9845988750457764
2910,"PLAN(paper), unclipped",4,3.0778170021232736,4096,512,0.125,0.75,1.000746726989746
2911,"PLAN(paper), clipped",4,3.07691654355858,4096,512,0.125,0.75,-1.000746726989746
2912,"PLAN(noscale), unclipped",4,3.3014791632210776,4096,512,0.125,0.75,0.9691734313964844
2913,"PLAN(noscale), clipped",4,3.3001493477364074,4096,512,0.125,0.75,-0.9691734313964844
2914,"instance optimal, unclipped",4,3.2875641933552604,4096,512,0.125,0.75,0.46930599212646484
2915,"instance optimal, clipped",4,3.2846354583200226,4096,512,0.125,0.75,0.46930599212646484
2916,Empirical mean (non-private),4,1.5216064453125,4096,512,0.125,1.0,0.0
2917,"PLAN(oracle), unclipped",4,4.004177533802711,4096,512,0.125,1.0,1.3022902011871338
2918,"PLAN(oracle), clipped",4,3.998405401112728,4096,512,0.125,1.0,-1.3022902011871338
2919,"PLAN(paper), unclipped",4,3.701023142068447,4096,512,0.125,1.0,1.3014333248138428
2920,"PLAN(paper), clipped",4,3.705690481663409,4096,512,0.125,1.0,-1.3014333248138428
2921,"PLAN(noscale), unclipped",4,3.8767440986057604,4096,512,0.125,1.0,1.3277897834777832
2922,"PLAN(noscale), clipped",4,3.8807782836460296,4096,512,0.125,1.0,-1.3277897834777832
2923,"instance optimal, unclipped",4,3.659154682099246,4096,512,0.125,1.0,0.46548962593078613
2924,"instance optimal, clipped",4,3.657049988083784,4096,512,0.125,1.0,0.46548962593078613
2925,Empirical mean (non-private),5,0.31291503906249996,4096,512,0.125,0.0,0.0
2926,"PLAN(oracle), unclipped",5,0.6311657535494231,4096,512,0.125,0.0,0.03667402267456055
2927,"PLAN(oracle), clipped",5,0.6363584108163753,4096,512,0.125,0.0,-0.03667402267456055
2928,"PLAN(paper), unclipped",5,0.6643480964084877,4096,512,0.125,0.0,0.034055233001708984
2929,"PLAN(paper), clipped",5,0.6639513320360433,4096,512,0.125,0.0,-0.034055233001708984
2930,"PLAN(noscale), unclipped",5,0.637881842432785,4096,512,0.125,0.0,0.03314995765686035
2931,"PLAN(noscale), clipped",5,0.6367631679420946,4096,512,0.125,0.0,-0.03314995765686035
2932,"instance optimal, unclipped",5,0.7402659249126591,4096,512,0.125,0.0,0.4732472896575928
2933,"instance optimal, clipped",5,0.7414505001852323,4096,512,0.125,0.0,0.4732472896575928
2934,Empirical mean (non-private),5,0.6150830078125,4096,512,0.125,0.25,0.0
2935,"PLAN(oracle), unclipped",5,1.474355775115097,4096,512,0.125,0.25,0.35594797134399414
2936,"PLAN(oracle), clipped",5,1.4685983840580459,4096,512,0.125,0.25,-0.35594797134399414
2937,"PLAN(paper), unclipped",5,1.6257865823824398,4096,512,0.125,0.25,0.3358027935028076
2938,"PLAN(paper), clipped",5,1.6252259269038691,4096,512,0.125,0.25,-0.3358027935028076
2939,"PLAN(noscale), unclipped",5,2.0226731175530337,4096,512,0.125,0.25,0.47625184059143066
2940,"PLAN(noscale), clipped",5,2.0178910142452917,4096,512,0.125,0.25,-0.47625184059143066
2941,"instance optimal, unclipped",5,1.9513619745382917,4096,512,0.125,0.25,0.4496762752532959
2942,"instance optimal, clipped",5,1.9514953452564359,4096,512,0.125,0.25,0.4496762752532959
2943,Empirical mean (non-private),5,0.9415576171875,4096,512,0.125,0.5,0.0
2944,"PLAN(oracle), unclipped",5,2.250278493953353,4096,512,0.125,0.5,0.6300787925720215
2945,"PLAN(oracle), clipped",5,2.257052841852625,4096,512,0.125,0.5,-0.6300787925720215
2946,"PLAN(paper), unclipped",5,2.4197051327344514,4096,512,0.125,0.5,0.627389669418335
2947,"PLAN(paper), clipped",5,2.4274709293243792,4096,512,0.125,0.5,-0.627389669418335
2948,"PLAN(noscale), unclipped",5,2.876990723868647,4096,512,0.125,0.5,0.6326882839202881
2949,"PLAN(noscale), clipped",5,2.8771176718782074,4096,512,0.125,0.5,-0.6326882839202881
2950,"instance optimal, unclipped",5,2.6056201176674003,4096,512,0.125,0.5,0.4644804000854492
2951,"instance optimal, clipped",5,2.6109763716536696,4096,512,0.125,0.5,0.4644804000854492
2952,Empirical mean (non-private),5,1.303984375,4096,512,0.125,0.75,0.0
2953,"PLAN(oracle), unclipped",5,3.2826203600918036,4096,512,0.125,0.75,0.9739651679992676
2954,"PLAN(oracle), clipped",5,3.2763462195393895,4096,512,0.125,0.75,-0.9739651679992676
2955,"PLAN(paper), unclipped",5,3.186917044533839,4096,512,0.125,0.75,0.9834563732147217
2956,"PLAN(paper), clipped",5,3.187564246583979,4096,512,0.125,0.75,-0.9834563732147217
2957,"PLAN(noscale), unclipped",5,3.3151239123465395,4096,512,0.125,0.75,0.9677810668945312
2958,"PLAN(noscale), clipped",5,3.3230427904824755,4096,512,0.125,0.75,-0.9677810668945312
2959,"instance optimal, unclipped",5,3.1123700864455164,4096,512,0.125,0.75,0.4756278991699219
2960,"instance optimal, clipped",5,3.113378741105911,4096,512,0.125,0.75,0.4756278991699219
2961,Empirical mean (non-private),5,1.590087890625,4096,512,0.125,1.0,0.0
2962,"PLAN(oracle), unclipped",5,3.706737199421749,4096,512,0.125,1.0,1.3216898441314697
2963,"PLAN(oracle), clipped",5,3.696630450787092,4096,512,0.125,1.0,-1.3216898441314697
2964,"PLAN(paper), unclipped",5,3.9743202954528383,4096,512,0.125,1.0,1.2985975742340088
2965,"PLAN(paper), clipped",5,3.9698683856519867,4096,512,0.125,1.0,-1.2985975742340088
2966,"PLAN(noscale), unclipped",5,3.9667090656496864,4096,512,0.125,1.0,1.2943735122680664
2967,"PLAN(noscale), clipped",5,3.967954549051858,4096,512,0.125,1.0,-1.2943735122680664
2968,"instance optimal, unclipped",5,3.563415927017164,4096,512,0.125,1.0,0.45960330963134766
2969,"instance optimal, clipped",5,3.561108551449892,4096,512,0.125,1.0,0.45960330963134766
2970,Empirical mean (non-private),6,0.3228857421875,4096,512,0.125,0.0,0.0
2971,"PLAN(oracle), unclipped",6,0.6718213014736376,4096,512,0.125,0.0,0.03542494773864746
2972,"PLAN(oracle), clipped",6,0.6702268611643203,4096,512,0.125,0.0,-0.03542494773864746
2973,"PLAN(paper), unclipped",6,0.6778569719864007,4096,512,0.125,0.0,0.03371596336364746
2974,"PLAN(paper), clipped",6,0.6784778406598378,4096,512,0.125,0.0,-0.03371596336364746
2975,"PLAN(noscale), unclipped",6,0.6847946442483258,4096,512,0.125,0.0,0.03396177291870117
2976,"PLAN(noscale), clipped",6,0.6838567591220095,4096,512,0.125,0.0,-0.03396177291870117
2977,"instance optimal, unclipped",6,0.7311071340227937,4096,512,0.125,0.0,0.45613718032836914
2978,"instance optimal, clipped",6,0.7283236448698057,4096,512,0.125,0.0,0.45613718032836914
2979,Empirical mean (non-private),6,0.6472802734375,4096,512,0.125,0.25,0.0
2980,"PLAN(oracle), unclipped",6,1.4892962203269704,4096,512,0.125,0.25,0.48078012466430664
2981,"PLAN(oracle), clipped",6,1.4944835111674073,4096,512,0.125,0.25,-0.48078012466430664
2982,"PLAN(paper), unclipped",6,1.5973735768440678,4096,512,0.125,0.25,0.33516550064086914
2983,"PLAN(paper), clipped",6,1.5923838204008884,4096,512,0.125,0.25,-0.33516550064086914
2984,"PLAN(noscale), unclipped",6,2.0070150037617998,4096,512,0.125,0.25,0.33543992042541504
2985,"PLAN(noscale), clipped",6,2.0101404507974294,4096,512,0.125,0.25,-0.33543992042541504
2986,"instance optimal, unclipped",6,1.8999157667107522,4096,512,0.125,0.25,0.46734189987182617
2987,"instance optimal, clipped",6,1.9001597974916344,4096,512,0.125,0.25,0.46734189987182617
2988,Empirical mean (non-private),6,0.979482421875,4096,512,0.125,0.5,0.0
2989,"PLAN(oracle), unclipped",6,2.4881459541021753,4096,512,0.125,0.5,0.631967306137085
2990,"PLAN(oracle), clipped",6,2.4979410460555185,4096,512,0.125,0.5,-0.631967306137085
2991,"PLAN(paper), unclipped",6,2.4092308947613033,4096,512,0.125,0.5,0.6295239925384521
2992,"PLAN(paper), clipped",6,2.411722326924722,4096,512,0.125,0.5,-0.6295239925384521
2993,"PLAN(noscale), unclipped",6,2.66665970859586,4096,512,0.125,0.5,0.628469705581665
2994,"PLAN(noscale), clipped",6,2.6777917155317863,4096,512,0.125,0.5,-0.628469705581665
2995,"instance optimal, unclipped",6,2.6549268181078283,4096,512,0.125,0.5,0.4597468376159668
2996,"instance optimal, clipped",6,2.6551873313231207,4096,512,0.125,0.5,0.4597468376159668
2997,Empirical mean (non-private),6,1.2653271484375,4096,512,0.125,0.75,0.0
2998,"PLAN(oracle), unclipped",6,3.0900411393190783,4096,512,0.125,0.75,0.973719596862793
2999,"PLAN(oracle), clipped",6,3.098518661617103,4096,512,0.125,0.75,-0.973719596862793
3000,"PLAN(paper), unclipped",6,2.9964670853205386,4096,512,0.125,0.75,0.9716684818267822
3001,"PLAN(paper), clipped",6,2.996625488187891,4096,512,0.125,0.75,-0.9716684818267822
3002,"PLAN(noscale), unclipped",6,3.2921236146768704,4096,512,0.125,0.75,0.9735550880432129
3003,"PLAN(noscale), clipped",6,3.2947986624898786,4096,512,0.125,0.75,-0.9735550880432129
3004,"instance optimal, unclipped",6,3.275667350001232,4096,512,0.125,0.75,0.4572107791900635
3005,"instance optimal, clipped",6,3.274016289472718,4096,512,0.125,0.75,0.4572107791900635
3006,Empirical mean (non-private),6,1.575927734375,4096,512,0.125,1.0,0.0
3007,"PLAN(oracle), unclipped",6,3.993075038898339,4096,512,0.125,1.0,1.3095030784606934
3008,"PLAN(oracle), clipped",6,3.9930821520103077,4096,512,0.125,1.0,-1.3095030784606934
3009,"PLAN(paper), unclipped",6,3.8381250298860365,4096,512,0.125,1.0,1.3021612167358398
3010,"PLAN(paper), clipped",6,3.8377525874274863,4096,512,0.125,1.0,-1.3021612167358398
3011,"PLAN(noscale), unclipped",6,3.8461994191860356,4096,512,0.125,1.0,1.2925176620483398
3012,"PLAN(noscale), clipped",6,3.853716629847933,4096,512,0.125,1.0,-1.2925176620483398
3013,"instance optimal, unclipped",6,3.630116225131064,4096,512,0.125,1.0,0.47371816635131836
3014,"instance optimal, clipped",6,3.6290502900100714,4096,512,0.125,1.0,0.47371816635131836
3015,Empirical mean (non-private),7,0.314013671875,4096,512,0.125,0.0,0.0
3016,"PLAN(oracle), unclipped",7,0.6708266663418683,4096,512,0.125,0.0,0.03726649284362793
3017,"PLAN(oracle), clipped",7,0.6715714665917445,4096,512,0.125,0.0,-0.03726649284362793
3018,"PLAN(paper), unclipped",7,0.6932205961851411,4096,512,0.125,0.0,0.14470386505126953
3019,"PLAN(paper), clipped",7,0.6919229410155416,4096,512,0.125,0.0,-0.14470386505126953
3020,"PLAN(noscale), unclipped",7,0.7207510565662646,4096,512,0.125,0.0,0.03379464149475098
3021,"PLAN(noscale), clipped",7,0.7194159118904484,4096,512,0.125,0.0,-0.03379464149475098
3022,"instance optimal, unclipped",7,0.7491619570623375,4096,512,0.125,0.0,0.4835212230682373
3023,"instance optimal, clipped",7,0.750252239241987,4096,512,0.125,0.0,0.4835212230682373
3024,Empirical mean (non-private),7,0.60685546875,4096,512,0.125,0.25,0.0
3025,"PLAN(oracle), unclipped",7,1.491112270484404,4096,512,0.125,0.25,0.33559679985046387
3026,"PLAN(oracle), clipped",7,1.5013732620191123,4096,512,0.125,0.25,-0.33559679985046387
